ProfileName,Rating,Summary,Review,Inconsistent Review,Gender
"jaimoi ""Appreciator of good music""",5,Delicious!,I love these cookies!  Not only are they healthy but they taste great and are so soft!  I will definitely add these to my grocery list!,Male,Male
"Linda Painchaud-Steinman ""PARK EDGE BOOKS""",5,Great Anytime of Day!,"Quaker Soft Baked Oatmeal Cookies with raisins are a delicious treat, great for anytime of day.  For example:<br /><br />--at breakfast, I had one with a large banana and a cup of coffee, and felt I'd had a relatively ""healthy"" start to the day.<br /><br />--the next day at lunch, following a tuna sandwich, I had one with a glass of milk, and was satisfied enough to not need a snack before dinner at 6:30.<br /><br />--the following night, after dinner, I had one with the remainder of my glass of wine. (Delicious!) And again, didn't feel the need to snack later in the evening.<br /><br />Each cookie is individually packaged, and their texture is soft and moist, with just the right amount of sweetness. Natural flavors used in the making are Cinnamon and All Spice.  These flavorings give the cookies a real old-fashioned, homemade taste.<br /><br />Nutritionally, the cookies have 170 calories each, 1.5g saturated fat, 150 mg sodium, and 12g sugar. They also have 2g of protein, and contain 25g of fiber.<br /><br />While the calorie count may seem a bit high for one cookie, they are good sized, and 1 cookie per serving is certainly enough to satisfy.<br /><br />Because of their great taste and texture, kids will probably enjoy them also.<br /><br />If you like oatmeal raisin cookies, give these a try!",Male,Male
carwash169,5,Very good!,"I am usually not a huge fan of oatmeal cookies, but these literally melt in your mouth. They are so soft and tasty! I would definitely recommend these to someone who loves oatmeal, and even those like me who would probably pick a different flavor over this one.",Female,Female
"P. Titus ""Knitgirlll""",5,Quaker Oats Oatmeal Raisin Mom Voxbox Review Courtesy of Influenster,"I participated in a product review that included a sample of <a href=""http://www.amazon.com/gp/product/B007JFMH8M"">Quaker Soft Baked Oatmeal Cookie, Raisins, 8.8-Ounce (Pack of 12)</a>.  Okay first of all I love Oatmeal Raisin cookies and this one was no exception.  It was great!!! Soft n chewy, nice portion size and and as always a high quality product from Quaker Oats.  Thanks to Quaker and Influenster to for including this in their Mom Voxbox.  If you haven't tried it you need to and make sure to share it with the family.",Female,Female
Jessica,5,"Quick, simple HEALTHY snack for the kiddos!!!","My kids loved these. I was very pleased to give my kids a quick on the go healthy snack before soccer and acne practice. They loved the flavor, I loved that its healthy.",Female,Female
Jazmin,5,Quaker Soft Baked Oatmeal Cookies,I really enjoyed these individually wrapped big oatmeal cookies. They are really soft and chewy. You can buy different flavors. I will definately be repurchasing these cookies in the future. They are delicious and super healthy too.,Female,Female
inca_p,4,Yummy,"I was surprised at how soft the cookie was. I usually buy Little Debbie's cookies, and I noticed the Quaker Soft Baked Oatmeal Cookie was bigger and had a bold taste.",Female,Female
Lou,5,Wow!!!!!,Filled with oats and raisins you'll love this snack ..... Delicious and nutritious ..... what else is there to say.... you can't beat that....,Male,Male
kmcwhorter,5,"soft, chewy, yummy!","I was recently given a complimentary ""vox box"" from influenster, call the mom vox box. It came with various products in it for me to try out and review the products inside. One of the products i received was a Quaker soft baked oatmeal cookie ""raisins"" flavor. When i opened the cookie wrapper, i gave half of it to my 3 year old and i ate the other half. I was immediately surprised by how soft the cookie was when i was splitting it in half. It was like a really really good home baked cookie. Soft, chewy and tasty. I normally do not like oatmeal raisin cookies, due to the raisins, but this cookie was surprisingly yummy. My three year old loved it so much that we had to go out and buy our own box. The cookies are soft, chewy, yummy, and healthier than other kinds of cookies, so  i would definitely recommend this product to people that have kids for a healthy yummy substitute to other sweets",Male,Male
michrabbit,5,so soft and good,"the best and freshest cookie that comes in a package, we ate them up, wishing we had more. soo good",Female,Female
